GNL, GENERAL,135 Airways,K
TBS, ,Timbis Air,HK
WYT, WYTON,2 Sqn No 1 Elementary Flying Training School,EG
TFU, THJY,213th Flight Unit,U
CHD, CHKALOVSK-AVIA,223rd Flight Unit,U
TTF, CARGO UNIT,224th Flight Unit,U
TWF, CLOUD RUNNER,247 Jet Ltd,EG
SEC, SECUREX,3D Aviation,K
JUB, ,Jubba Airways,HK
MLA, MILE-AIR,40-Mile Air,K
QRT, QUARTET,4D Air,Thailand
PIU, PRIMA,43 Air School,South Africa
ASD, ,Air Sinai,Egypt
SEK, ,Star East Airline,Romania
AIJ, ABC Aerolineas,Interjet,Mexico
XRC, ,Express Air Cargo,Tunisia
RYA, RYAN AIR,Ryan Air Services,K
BRO, BROADSWORD,2Excel Aviation,EG
PSC, PASCAN,Pascan Aviation,C
WSN, WINGSPAN,Advanced Air,K
GBT, GLOBETROTTER,A-Jet Aviation Aircraft Management,Austria
AJR, JET MONGOLIA,A-Jet Aviation Company,ZM
SFM, AIR SAFAR,A-Safar Air Services,Nigeria
AJJ, ATLANTIC JET,A2 Jet Leasing,K
XXV, ,AASANA,Bolivia
LEP, LECOSTA,Air Costa,India
NKP, ABAKAN AIR,Abakan Air,Russian Federation
ADD, ,Advanced Air Co.,Japan
OWN, AERO OWEN,Aero Owen,Mexico
ASR, SOTRAVIA,Aero Sotravia,LF
ARH, AEROHELCA,Aerohelicopteros,Venezuela
VMX, VENTA,Aeroventas de Mexico,Mexico
ATW, DEVIL,Air Antwerp,Belgium
ACC, ,Airspeed Charter,Jamaica
FSY, FROSTY,Algonquin Airlink,C
TTX, TWISTER,Alliance Air Charters,K
ALN, TOLEMAC,TOLEMAC,Slovakia
UJX, ATLAS UKRAINE,Atlas Ukraine Airlines,UK
RGR, AVIOR REGIONAL,Avior Regional,Venezuela
NGF, ANGEL FLIGHT,Air Charity Network,K
WFT, WORLD FLIGHT,Aircharters Worldwide,K
ATT, ATTAWASOL AIR,Attawasol Airlines,Libya
EDY, STOBART,Apollo Air Service,EG
IWY, ISLANDWAYS,InterCaribbean Airways,Turks and Caicos Islands
ASL, AIR SERBIA,Air Serbia,Serbia
LYN, ALTYN AVIA,Air Kyrgyzstan,Kyrgyzstan
CCM, CORSICA,Air Corsica,LF
AHS, HIGH SKY,AHS Air International,Pakistan
ROH, ,Aberdair Aviation Ghana,Ghana
ROO, AERO ROA,Aero Roa,Mexico
AWF, ,Aeroforward,K
SUP, SUN SPEED,Aeronautical Charters,K
PSO, AEROPEGASO,Aerotaxis Pegaso,Mexico
EIN, SHAMROCK,Aer Lingus,Ireland
VLB, VOLTA,Air Volta,Bulgaria
WAS, ,Air-Watania,Iraq
FCJ, FRACJET,AirSprint US,K
TEW, TEAMWORK,Airteam Charter,South Africa
STT, STAR CHARTER,Alpha Star Charter,Saudi Arabia
LBZ, ,Angkasa Super Service,Indonesia
HEZ, ARROW,Arrow Aviation,LL
UAH, ,Air Experience Flight Cranwell,EG
DRO, ADRO SERVICIOS,Adro Servicios Aereos,Mexico
RVQ, REVA AIR,Aero Jet International,K
ASK, MULTISKY,Aerosky,Spain
AEH, AEROCUTTER,Aero4m,Slovenia
ERO, AEROECOM,Aeroecom,Venezuela
XAU, PEARL,Aerolink Uganda,Uganda
NKY, AEROMON,Aeromonkey,Mexico
AWP, ,Aeroworld Pakistan,Pakistan
AGA, GEOLINE,AG Air,Georgia
ABZ, ISLAND LIFEFLIGHT,Air Ambulance Services,Bahamas
ROU, ROUGE,Air Canada Rouge,C
CNM, MENGYUAN,Air China Inner Mongolia,Z
VRE, COTE DIVORIE,Air Côte d'Ivoire,Ivory Coast
AWL, ,Air Walser,Malta
AXY, LEGEND,Air X Charter,Malta
OES, ART AUSTRIA,ART Aviation,Austria
ASF, AUSTRIAN AIRFORCE,Austrian Air Force,Austria
AVG, AVILEF,Aviation Legacy,Gambia
AZY, AZTEC WORLD,Aztec Worldwide Airlines,K
AAB, ABG,Abelag Aviation,Belgium
ACX, LOADMASTER,Air Cargo Germany,ED
AAD, SUNRISE,Aero Aviation Centre Ltd.,C
SII, ASEISA,Aero Servicios Ejecutivos Internacionales,Mexico
BZS, BINIZA,Aero Biniza,Mexico
AET, AERO PALMA,Aero-Palma,Spain
ABM, ALBATROS ESPANA,Aero Albatros,Spain
RSO, AERO ASIA,Aero Asia International,Pakistan
AAF, AIGLE AZUR,Aigle Azur,LF
AAM, ,Aim Air,Moldova
AAO, ATLANTIS AIR,Atlantis Airlines (USA),K
AAP, AEROVISTA GROUP,Aerovista Airlines,Kyrgyzstan
AE,  ,Air Ceylon,Sri Lanka
AAR, ASIANA,Asiana Airlines,Republic of Korea
AAS, AL-ASS,Askari Aviation,Pakistan
AAU, AUSTASIA,Australia Asia Airlines,Y
AAV, ASTRO-PHIL,Astro Air International,K
AAW, AFRIQIYAH,Afriqiyah Airways,Libya
AFU, AFRINAT,Afrinat International Airlines,Gambia
AAX, AFREX,Afric'air Express,Côte d'Ivoire
BRL, BRASD'OR,Air Brasd'or,C
AFH, FECTO,Air Fecteau,C
BRM, BOOMERANG,Air 500,C
AAG, ATLANTIC,Atlantic Flight Training,EG
AAG, ATLANTIC,Air Atlantique,EG
AAJ, AIR ALMA,Air Alma,C
ACS, ,Air Cess,Liberia
ADT, AIR DORVAL,Air Dorval,C
AHN, AIR HUNGARIA,Air Hungaria,Hungary
AHR, ADRIATIC,Air Adriatic,Croatia
AHK, AIR HONG KONG,Air Hong Kong,Hong Kong
AHS, AIRSAR,Air Viggi San Raffaele,Italy
AEQ, LUNA,Air Express,Sweden
AAI, BOREALIS,Air Aurora,K
ACU, AFRISPIRIT,Air Cargo Transportation System,HK
ACV, ,Air Charter Service,EG
ADC, ATLAN-DOMINICAN,Air Atlantic Dominicana,Dominican Republic
ADW, AIR ANDAMAN,Air Andaman,Thailand
AEA, EUROPA,Air Europa,Spain
AEY, AIR ITALY,Air Italy,Italy
ASW, AIRSOUTHWEST,Air Southwest Ltd.,C
ASX, AIRSPEC,Air Special,LK
AMU, AIR MACAO,Air Macau,Macao
AMW, AIR MIDWEST,Air Midwest,K
SEY, SEYCHELLES,Air Seychelles,Seychelles
SFB, AIR SOFIA,Air Sofia,Bulgaria
BRF, AIR BRAVO,Air Bravo,Uganda
AFR, AIRFRANS,Air France,LF
ACG, AIR PARTNER,Air Partner,EG
ACI, AIRCALIN,Air Caledonie International,LF
VSG, VISIG,AirClass Airways,Spain
AKX, ALFA WING,Air Nippon Network Co. Ltd.,Japan
ALM, ANTILLEAN,Air ALM,Netherlands Antilles
ALN, CHICAGO LINCOLN,Air Lincoln,K
ACM, WEST CAL,Air Caledonia,C
AGM, AIR GUAM,Air Guam,K
AWI, WISCONSIN,Air Wisconsin,K
ALU, LUXORJET,Air Luxor STP,São Tomé and Príncipe
RSI, AIR SUNSHINE,Air Sunshine,K
AGN, GOLF NOVEMBER,Air Gabon,Gabon
AFS, ,Air Data,EG
AFV, AFRIQUE VACANCE,Air Afrique Vacancies,Côte d'Ivoire
AJX, AIR JAPAN,Air Japan,Japan
LIB, AIR LIBERTE,Air Liberté,LF
KLA, KAUNAS,Air Lithuania,Lithuania
AMG, AIR MINAS,Air Minas Linhas Aéreas,Brazil
ANT, AIR NORTH,Air North Charter - Canada,C
ANV, AIR NEVADA,Air Nevada,K
ANZ, NEW ZEALAND,Air New Zealand,New Zealand
AOE, ,Air One Executive,Italy
AMI, AIR MALDIVES,Air Maldives,Maldives
AML, MALAWI,Air Malawi,Malawi
AMN, MONTENEGRO,Air Montenegro,Montenegro
BIE, MEDITERRANEE,Air Mediterranee,LF
MKG, MEKONG,Air Mekong,Vietnam
TAH, AIR MOOREA,Air Moorea,LF
AVZ, AIR VALENCIA,Air Valencia,Spain
AMO, AIR MONTREAL,Air Montreal (Air Holdings Inc.),C
AMR, AIR AM,Air Specialties Corporation,K
AMS, AIR MUSKOKA,Air Muskoka,C
AOJ, ASTERIX,Avcon Jet,Austria
AJU, AIRJETSUL,Air Jetsul,Portugal
AKA, ,Air Korea Co. Ltd.,Republic of Korea
LIV, LIVONIA,Air Livonia,Estonia
ABL, AIRCOACH,Air BC,C
ABN, ,Air Fret Senegal,Senegal
LJA, AIR JAMAHIRIYA,Air Jamahiriya Company,Libya
AGB, ,Air Service Gabon,Gabon
AGV, AIR GLACIERS,Air Glaciers,Switzerland
MVM, PEGASUS,Air Cargo America,K
AMY, AIR AMBAR,Air Ambar,Dominican Republic
VGA, AIR VEGAS,Air Vegas,K
AOU, AIR TRACTOR,Air Tractor,Croatia
APA, CAN-AM,Air Park Aviation Ltd.,C
APG, AIR PEOPLE,Air People International,Thailand
ANA, ALL NIPPON,All Nippon Airways,Japan
ANB, AIR NAV,Air Navigation And Trading Co. Ltd.,EG
NGO, AIR ANGOL,Air-Angol,Angola
TWG, TWINGOOSE,air-taxi Europe,ED
NGP, REGAL EAGLE,Air Nigeria,Nigeria
SNC, NIGHT CARGO,Air Cargo Carriers,K
SND, ARSAM,Air Samarkand,Uzbekistan
SNG, AIR SENEGAL,Air Senegal International,Senegal
SNY, AIR SANDY,Air Sandy,C
AII, INTEGRA,Air Integra,C
BFF, AIR BAFFIN,Air Baffin,C
BDM, BANDAMA,Air Bandama,Ivory Coast
BER, AIR BERLIN,Air Berlin,ED
ABT, AIR BROUSSE,Air Brousse,C
APV, AIR PLAN,Air Plan International,Democratic Republic of the Congo
ARX, AIREX,Air Xpress Inc.,K
HTT, HOTEL TANGO,Air Tchad,Chad
ARZ, AIR RESORTS,Air Resorts,K
ASB, AIR SPRAY,Air-Spray 1967 Ltd.,C
ASC, AIR STAR,Air Star Corporation,C
ASD, AIR SINAI,Air Sinai,Egypt
AQN, BUSHAIR,Air Queensland,Y
ARC, ,Air Routing International Corp.,K
ARR, AIR ARMENIA,Air Armenia,Armenia
ABR, CONTRACT,ASL Airlines Ireland,Ireland
AIL, AIR ILLINOIS,Air Illinois,K
AIC, AIRINDIA,Air India Limited,India
AIG, ,Air Inter Gabon,Gabon
SPM, SAINT-PIERRE,Air Saint Pierre,LF
WOW, SWALLOW,Air Southwest,EG
ATJ, SNOOPY,Air Traffic GmbH,ED
ATN, AIR TRANSPORT,Air Transport International,K
ATQ, MULTI,Air Transport Schiphol,EH
ATS, ,Air Transport Service,Democratic Republic of the Congo
AVG, DJIBOUTI FALCON,Air Falcon,Djibouti
AUX, ,Air Uganda International Ltd.,Uganda
AVN, AIR VAN,Air Vanuatu,Vanuatu
BUB, BOURBON,Air Bourbon,Reunion
ABD, ATLANTA,Air Atlanta Icelandic,Iceland
AIE, AIR INUIT,Air Inuit,C
AIS, SURESTE,Air Sureste,Spain
SBK, Air Srpska,Air Srpska,Bosnia and Herzegovina
THT, TAHITI AIRLINES,Air Tahiti Nui,LF
NMB, NAMIBIA,Air Namibia,Namibia
NSK, INTERSALONIKA,Air Intersalonika,Greece
NTL, AIR ANATOLIA,Air Anatolia,Turkey
SGA, AIR SAIGON,Air Saigon,Vietnam
AFW, AFRAIR,Afrique Regional Airways,Côte d'Ivoire
AFW, BLACKSTAR,Africa World Airlines,Ghana
ACX, PARAIR,Air Charters,C
AEL, AIR EUROPE,Air Europe Italy,Italy
AJM, JAMAICA,Air Jamaica,Jamaica
AWN, AIR NIAMEY,Air Niamey,Niger
AWT, AIR WEST,Air West,C
AWW, RED DRAGON,Air Wales,EG
FWI, FRENCH WEST,Air Caraïbes,LF
AXB, EXPRESS INDIA,Air India Express,India
AXD, AIR SUDEX,Air Express,Sudan
BSB, ARBAS,Air Wings,Moldova
BTI, AIRBALTIC,Air Baltic,Latvia
ANI, NIGALANTIC,Air Atlantic (Nig) Limited,Nigeria
ANK, ANK AIR,Air Nippon,Japan
ANE, AIR NOSTRUM,Air Nostrum,Spain
ANG, NIUGINI,Air Niugini,Papua New Guinea
ABY, ARABIA,Air Arabia,United Arab Emirates
ACA, AIR CANADA,Air Canada,C
LAV, ALBASTAR,AlbaStar,Spain
MHS, AIR MEMPHIS,Air Memphis,Egypt
AXL, EXEL COMMUTER,Air Exel,EH
AZF, AIR ZERMATT,Air Zermatt AG,Switzerland
AZW, AIR ZIMBABWE,Air Zimbabwe,Zimbabwe
MHU, MEPHIS UGANDA,Air Memphis,Uganda
MKH, AIR MARRAKECH,Air Marrakech Service,Morocco
AZX, AZIMA,Air Max Africa,Gabon
RSH, SAHARA,Air Sahara,India
ATA, ,Air Transport Association,K
ATC, TANZANIA,Air Tanzania,Tanzania
XAC, ,Air Charter World,K
