OA,	Afghanistan
PA,	Alaska
LA,	Albania
DA,	Algeria
NS,	American Samoa
FN,	Angola
TQ,	Anguilla
TA,	Antigua
TA,	Barbuda
SA,	Argentina
UG,	Armenia
UG,	Georgia
TN,	Aruba
TN,	Netherlands Antilles
FH,	Ascension Islands
YB,	Australia
YM,	Australia
LO,	Austria
UB,	Azerbiajan
MY,	Bahamas
OB,	Bahrain
VG,	Bangladesh
TB,	Barbados
UM,	Belarus
UM,	Latvia
UM,	Lithuania
EB,	Belgium
MZ,	Belize
DB,	Benin
TX,	Bermuda
SL,	Bolivia
LQ,	Bosnia and Herzegovina
FB,	Botswana
SB,	Brazil
WB,	Brunei
LB,	Bulgaria
DF,	Burkina Faso
HB,	Burundi
VD,	Cambodia
FK,	Cameroon
CY,	Canada
GC,	Canary Islands
GV,	Cape Verde
MW,	Cayman Islands
FT,	Chad
SC,	Chile
ZB,	China
ZG,	China
ZH,	China
ZL,	China
ZP,	China
ZS,	China
ZU,	China
ZW,	China
ZY,	China
SK,	Colombia
FC,	Congo
NC,	Cook Islands
MR,	Costa Rica
LD,	Croatia
MU,	Cuba
LC,	Cyprus
LK,	Czech Republic
FZ,	Democratic Republic of Congo
EK,	Denmark
FJ,	Diego Garcia
HD,	Djibouti
TD,	Dominica
MD,	Dominican Republic
HE,	Egypt
MS,	El Salvador
SE,	Equador
FG,	Equatorial Guinea
HH,	Eritrea
EE,	Estonia
HA,	Ethiopia
NF,	Fiji
EF,	Finland
LF,	France
TF,	French Antilles
SO,	French Guyana
FO,	Gabon
GB,	Gambia
ED,	Germany
ET,	Germany - Military
DG,	Ghana
LX,	Gibralter
LG,	Greece
BG,	Greenland
TG,	Grenada
PG,	Guam
MG,	Guatemala
GU,	Guinea
GG,	Guinea Bissau
SY,	Guyana
MT,	Haiti
PH,	Hawaii
MH,	Honduras
VH,	Hongkong
LH,	Hungary
BI,	Iceland
VE,	India - East
VI,	India - North
VO,	India - South
VA,	India - West
WA,	Indonesia
WI,	Indonesia
WR,	Bali
OI,	Iran
OR,	Iraq
EI,	Ireland
LL,	Israel
LI,	Italy
DI,	Ivory Coast
MK,	Jamaica
RJ,	Japan
PJ,	Johnston Islands
OJ,	Jordan
UA,	Kazakhstan and Kyrgyzstan
HK,	Kenya
NG,	Kiribati Islands
RK,	Korea
OK,	Kuwait
VL,	Laos
EV,	Latvia
OL,	Lebanon
FX,	Lesotho
GL,	Liberia
HL,	Libya
PL,	Line Islands
EY,	Lithuania
EL,	Luxembourg
VM,	Macau
LW,	Macedonia
FM,	Madagascar
FW,	Malawi
WM,	Malaysia
VR,	Maldives
GA,	Mali
LM,	Malta
PK,	Marshall Islands
GQ,	Mauritania
FI,	Mauritius
GE,	Melilla
MM,	Mexico
PT,	Micronesia
PM,	Midway Islands
LU,	Moldova
ZM,	Mongolia
TT,	Monserrat Islands
GM,	Morocco
FQ,	Mozambique
VY,	Myanmar
FY,	Namibia
AN,	Nauru Islands
VN,	Nepal
EH,	Netherlands
NZ,	New Zealand
MN,	Nicaragua
DR,	Niger
DN,	Nigeria
NI,	Niue Islands
ZK,	North Korea
EN,	Norway
NW,	Noumea
RO,	Okinawa Islands
OO,	Oman
OP,	Pakistan
MP,	Panama
AY,	Papua New Guinea
SG,	Paraguay
SP,	Peru
RP,	Philippines
EP,	Poland
LP,	Portugal
TJ,	Puerto Rico
OT,	Qatar
FE,	Republic of Central Africa
LR,	Romania
UE,	Russian Federation
UH,	Russian Federation
UI,	Russian Federation
UL,	Russian Federation
UN,	Russian Federation
UR,	Russian Federation
US,	Russian Federation
UU,	Russian Federation
UW,	Russian Federation
HR,	Rwanda
FP,	Sao Tome
OE,	Saudi Arabia
GO,	Senegal
LY,	Serbia
FS,	Seychelles
GF,	Sierra Leone
WS,	Singapore
LZ,	Slovakia
LJ,	Slovenia
AG,	Solomon Islands
FA,	South Africa
LE,	Spain
VC,	Sri Lanka
TK,	St. Kitts Islands
TL,	St. Lucia
HS,	Sudan
SM,	Surinam
FD,	Swaziland
ES,	Sweden
LS,	Switzerland
OS,	Syria
NT,	Tahiti
RC,	Taiwan
HT,	Tanzania
VT,	Thailand
DX,	Togo
TU,	Trinidad
TU,	Tobago
DT,	Tunisia
LT,	Turkey
MB,	Turks and Caicos Islands
TV,	U.K Virgin Islands
TI,	U.S. Virgin Islands
HU,	Uganda
UK,	Ukraine
UK,	Moldovia
OM,	United Arab Emirates
EG,	United Kingdom
K,	United States
SU,	Uruguay
UT,	Uzbekistan
UT,	Turkmenistan
UT,	Tadjikistan
NV,	Vanuatu
SV,	Venezuela
VV,	Vietnam
PW,	Wake Islands
NL,	Wallis Islands
OY,	Yemen
FL,	Zambia
FV,	Zimbabwe
